numero_amostra,accel_x,accel_y,accel_z,giro_x,giro_y,giro_z
1,12848,8056,48,9619,-270,-14595
2,8132,13948,-2320,24507,-4228,-19555
3,8996,15664,-6020,7645,-9296,-11216
4,8596,13632,-4324,4678,-7973,-7667
5,9400,13916,-5652,7254,-3573,-4992
6,9312,14548,-6444,2967,-535,-3526
7,8684,14244,-5244,-40,1922,-1335
8,8456,14728,-4672,-1313,2981,1543
9,8516,14652,-4148,-5734,1380,4649
10,8548,13176,-3760,-7355,961,7263
11,10912,12832,-3456,-11294,-2635,5720
12,10264,8776,-1924,-5691,-1219,727
13,11656,11016,-2196,5619,2013,-4713
14,8388,13072,-4772,11935,4986,-7380
15,7364,16580,-5416,7341,5887,-1823
16,11312,16468,-7452,-6670,2980,1350
17,10540,13468,-1668,-10111,-877,573
18,4508,8920,-1964,2013,-2425,7588
19,11288,15560,-5956,-4786,-5337,9614
20,9928,11736,-5304,-14030,-5826,7456
21,11152,10644,-3444,-4437,1210,5459
22,10720,12012,-3576,-1003,2704,2825
23,10020,11976,-2872,-2952,1573,1395
24,10380,12120,-2260,-921,483,160
25,10296,12000,-2732,1683,185,-936
26,10276,12724,-3596,2027,536,-2065
27,9964,12628,-3000,1983,448,-2886
28,9680,13248,-3584,2634,397,-2569
29,9612,13380,-3528,877,-67,-2061
30,9552,13208,-3368,652,-276,-1341
31,9160,13504,-2796,-989,-1933,-414
32,9892,12708,-3200,1707,-2176,200
33,9968,13240,-4872,784,-1660,-377
34,7780,11064,-6736,4830,8022,1643
35,11964,17868,-1644,-14911,-3357,3552
36,8056,11560,-3656,-2144,684,7379
37,8136,15284,-3720,-2223,2845,11178
38,8744,20460,-6412,-7569,6530,22575
39,11436,18320,-5872,-32768,-5206,26989
40,16860,9976,-1696,-32768,-9970,27586
41,25496,284,-148,-28911,-11820,28559
42,15948,5152,8400,-3873,2418,24834
43,13884,5528,8472,-15967,15653,32762
44,13208,5564,6476,-7353,23545,32767
45,15336,7652,4100,-13130,29882,32767
46,18172,6352,96,-14059,30862,32767
47,17976,6932,-1216,-5929,29219,32767
48,17700,8552,-1516,-6632,26429,32767
49,15272,8200,-816,-2410,24614,28109
50,12420,9064,296,2278,22416,21187
51,13160,9288,-680,-990,20431,17083
52,12664,9384,-764,-1194,14628,12450
53,13888,8884,-924,551,8069,4258
54,13868,8900,524,4299,3022,-5766
55,13912,8568,2184,5382,-404,-13474
56,14868,6704,4572,1466,-4661,-16552
57,14888,5212,6408,2206,-5277,-17971
58,15132,4728,8064,977,-3972,-16859
59,14712,3096,8848,-3128,-478,-14656
60,15520,2032,8352,686,4415,-14496
61,15576,1660,7484,862,8096,-12493
62,15940,1360,6680,2208,9377,-9877
63,14596,1760,6912,3729,10204,-6366
64,13660,1720,6396,2841,11360,-2045
65,12980,1884,5660,5710,11923,889
66,13244,2672,4868,6669,11366,4687
67,12772,3104,4376,5162,10644,8817
68,10872,3880,4596,4405,10303,11909
69,11580,4868,3312,4138,7243,16939
70,8668,6144,4192,-445,1424,24933
71,10756,8708,3264,-9802,-7061,32767
72,12368,10152,2620,-17063,-12016,32767
73,13472,11000,2704,-18204,-15409,29112
74,17144,12956,3744,-24547,-16432,20317
75,16308,10188,4916,-19545,-15710,4620
76,17060,10792,4904,-10638,-11153,-13927
77,18860,9516,3928,-11737,-7672,-26379
78,18016,6964,3880,-6197,-7585,-32768
79,21380,7004,3616,-12671,-8104,-32768
80,20988,4812,4584,-11557,-5928,-32768
81,21884,2792,4764,-5556,-4395,-32768
82,20344,2048,6444,-6018,-2481,-32768
83,20632,124,7176,-8097,558,-32768
84,18088,-224,9892,-203,4661,-28576
85,16044,268,11592,-3514,8944,-15969
86,15768,520,11192,1580,19120,-1470
87,13748,1664,10400,2094,24130,7594
88,13120,2320,8296,3142,27505,15503
89,10888,3696,6344,5897,27993,20795
90,8976,5252,3832,4194,28828,24502
91,4592,6252,1396,1148,24923,28222
92,5072,7336,-2844,-1377,14603,32460
93,8132,8636,-4772,-6429,-866,32767
94,10664,10324,-3476,-15391,-14297,32767
95,12020,9388,-1152,-13659,-25171,26887
96,15472,10408,1176,-338,-30529,13275
97,17212,11188,3560,72,-30592,3759
98,21048,10036,6348,5127,-24865,-14283
99,20380,9016,8952,13617,-18605,-26437
100,20656,10692,12604,290,-15114,-23876
101,21660,7060,13340,-7943,-2612,-25768
102,19744,5156,13660,4203,8901,-31774
103,18028,3976,12828,3629,17866,-28817
104,16268,1452,10372,4695,20519,-20630
105,17156,412,8272,8293,23161,-12596
106,13708,716,8312,8834,24149,-515
107,10468,560,7648,7821,25550,11578
108,8732,2060,6172,8510,24430,22231
109,7132,4316,4284,277,22846,31683
110,7380,5556,1320,-3669,17445,32767
111,8964,8484,-1148,-8513,10167,32767
112,12096,10176,-3540,-12536,-5939,31250
113,10972,10332,-796,-10256,-14908,21283
114,13004,11072,876,-6582,-20188,8801
115,15740,10804,3404,-2891,-22849,-3255
116,14000,11120,7940,-2304,-19480,-12013
117,17040,10644,8792,-6972,-16772,-14655
118,19260,8216,8908,-7561,-10569,-21108
119,19648,6412,8604,1672,-6854,-28665
120,22052,4408,7560,813,-5476,-31413
121,20772,672,7540,9519,-5521,-29136
122,14472,400,11272,5260,-2759,-15824
123,14236,-2112,10868,1328,3062,-1428
124,17844,-1188,8820,3471,6388,9032
125,18972,408,8248,3825,10837,17048
126,16008,3056,8972,7144,15126,17777
127,16676,4056,6896,4105,18798,18699
128,17312,3576,4200,8635,19435,15269
